04-52,16,16,1
08-1322,30,20,1
04-593,17,32,1
08-1394,27,30,1
10-1042,41,22,0
05-260,28,18,0
04-607,24,8,0
08-728,27,28,1
09-907,23,25,0
07-9712,22,15,0
10-844,25,20,1
11-1425,38,26,0
10-895,33,29,0
11-702,28,38,1
07-214,30,27,1
04-1067,44,48,0
09-737,22,36,1
06-713,0,24,1
05-1629,12,14,1
10-1399,26,39,0
08-586,18,20,1
04-373,89,59,0
04-277,31,8,1
09-958,34,39,1
03-10198,28,35,1
08-1569,36,9,0
10-5443,25,27,1
09-1298,28,38,1
08-964,20,25,0
04-169,21,17,1
11-864,22,31,1
06-1717,23,24,1
06-937,21,17,1
07-474,33,22,0
03-633,26,31,0
09-1476,15,25,1
05-465,15,26,1
07-6053,18,11,1
04-495,29,32,1
09-1343,17,49,1
10-779,38,13,0
06-5306,31,15,0
09-1156,39,24,0
06-1498,20,21,0
08-441,19,19,0
05-85,27,23,1
10-277,11,28,1
08-305,31,34,0
11-820,28,14,0
10-76,8,20,1
06-1221,49,34,1
10-948,7,15,1
05-6551,20,14,1
04-1084,63,61,0
10-290,13,13,0
10-1211,14,30,1
09-1272,39,18,1
10-5258,8,7,0
05-1631,25,32,1
05-1272,14,9,1
04-1203,45,49,1
09-1159,18,29,0
04-163,16,20,1
06-562,15,10,0
06-969,18,25,0
08-680,35,35,1
09-1533,21,15,0
03-710,17,26,1
04-473,58,68,1
11-199,23,32,0
08-974,9,41,1
09-5801,26,27,0
11-1327,24,23,1
07-1356,8,6,1
06-1509,19,33,1
05-1240,31,15,0
06-413,20,14,1
09-1403,12,8,1
05-547,53,72,1
06-989,29,33,0
07-772,20,14,1
05-746,13,15,1
10-1472,28,14,1
08-6925,21,24,1
10-637,23,15,1
08-67,12,23,1
08-810,47,38,1
07-552,21,24,0
08-1341,11,28,1
03-1601,23,40,1
08-1332,23,36,1
11-192,24,17,1
04-1527,28,50,0
08-267,25,35,0
10-1259,40,35,0
06-984,60,41,0
03-892,42,38,1
09-448,23,27,1
11-9335,23,24,1
07-320,29,20,1
04-1618,10,12,1
05-352,26,25,0
11-465,10,17,1
08-495,20,36,0
12-25,33,37,0
06-923,33,34,0
10-680,25,24,1
07-513,41,30,0
03-1388,31,28,1
09-291,25,20,1
07-582,23,32,1
09-9000,32,29,1
07-610,22,24,0
09-1088,30,23,1
03-855,15,23,1
07-591,20,31,1
09-837,34,8,0
09-658,9,22,1
10-1195,32,29,1
06-219,39,21,1
05-5992,17,18,1
06-531,23,36,1
12-133,25,28,0
05-8794,29,33,1
07-544,22,3,1
04-721,71,43,1
08-1214,25,26,1
08-970,24,23,1
07-440,34,32,1
05-11284,18,11,1
